session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_071132,trial_001,1777504292.4031284,227083.3785117,R_Femur,18,-9.7282,-0.6651,-0.268,0.7324,-0.4883,-0.5493,-111.3959,85.7648,-98.064,-0.6864,-0.2056,-0.6804,-0.1537
independent_20260430_071132,trial_001,1777504292.4031284,227083.3785972,Trunk,17,-3.4549,-6.6274,-6.1776,0.4883,-0.1221,-0.7324,-133.1488,20.896,119.6576,-0.3912,0.8164,0.2544,0.3403
independent_20260430_071132,trial_001,1777504292.4031284,227083.3786822,L_Femur,17,-3.1678,-7.7041,5.3115,-0.1221,-0.061,-0.1831,-54.8273,18.3032,-75.9924,-0.4451,-0.1686,-0.5972,0.6456
independent_20260430_071132,trial_001,1777504292.4031284,227083.3787664,L_Tibia,18,0.1388,-3.9717,9.1014,-0.1831,-0.2441,0.4272,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.4031284,227083.3788509,L_Foot,19,3.0481,-7.8859,-4.6512,-0.5493,-0.2441,0.3052,-121.6956,-18.7811,36.7932,-0.8427,0.1965,0.2869,0.4111
independent_20260430_071132,trial_001,1777504292.4031284,227083.3789366,R_Femur,19,-9.7282,-0.6651,-0.268,0.7324,-0.5493,-0.4883,-111.4014,85.7648,-98.064,-0.6864,-0.2057,-0.6804,-0.1538
independent_20260430_071132,trial_001,1777504292.4031284,227083.3790212,R_Tibia,10,-4.7756,-7.929,3.3209,0.1221,-0.3052,0.3662,-67.3132,28.9545,173.15,0.1757,0.5481,0.7962,0.1865
independent_20260430_071132,trial_001,1777504292.404129,227083.3791064,R_Foot,9,-7.4792,-3.9334,-4.6368,0.5493,0.1221,-0.1221,-139.455,50.9271,-37.5952,-0.8498,-0.1319,-0.4826,0.1662
independent_20260430_071132,trial_001,1777504292.404129,227083.3791912,Trunk,18,-3.4501,-6.6227,-6.1729,0.4883,-0.1221,-0.7935,-133.1488,20.896,119.6576,-0.3912,0.8164,0.2544,0.3403
independent_20260430_071132,trial_001,1777504292.405796,227083.3814044,L_Femur,18,-3.1678,-7.7041,5.3115,-0.1831,-0.1221,-0.1831,-54.8218,18.3032,-75.9924,-0.4451,-0.1685,-0.5972,0.6456
independent_20260430_071132,trial_001,1777504292.405796,227083.3816485,L_Tibia,19,0.1436,-3.9669,9.1014,-0.2441,-0.2441,0.4883,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.405796,227083.3817747,L_Foot,20,3.0529,-7.8812,-4.6512,-0.5493,-0.3052,0.3052,-121.6956,-18.7811,36.7987,-0.8427,0.1965,0.2869,0.4111
independent_20260430_071132,trial_001,1777504292.405796,227083.3818775,R_Femur,20,-9.733,-0.6651,-0.268,0.7324,-0.4883,-0.4883,-111.4014,85.7648,-98.0695,-0.6864,-0.2057,-0.6804,-0.1538
independent_20260430_071132,trial_001,1777504292.405796,227083.3819716,Trunk,19,-3.4501,-6.6227,-6.1729,0.4272,-0.1221,-0.7935,-133.1488,20.896,119.6576,-0.3912,0.8164,0.2544,0.3403
independent_20260430_071132,trial_001,1777504292.405796,227083.3820644,L_Femur,19,-3.1678,-7.6945,104.1681,771.5454,-1640.8081,-109.7412,-109.693,11.3763,-7.2894,-0.8156,0.0052,-0.1173,0.5666
independent_20260430_071132,trial_001,1777504292.405796,227083.3821556,L_Femur,20,-3.1726,-7.7041,5.3259,-0.1221,-0.061,-0.1831,-54.9426,18.5834,-73.9874,-0.4498,-0.1595,-0.5864,0.6545
independent_20260430_071132,trial_001,1777504292.4073253,227083.3822882,L_Tibia,20,0.134,-3.9765,9.1014,-0.2441,-0.2441,0.4272,-23.5657,-0.791,40.2484,-0.1941,0.0639,0.3381,0.9187
independent_20260430_071132,trial_001,1777504292.4073253,227083.3824506,L_Foot,21,3.0577,-7.8907,-4.6272,-0.4883,-0.1831,0.3052,-120.7123,-18.6603,40.177,-0.833,0.2193,0.3,0.41
independent_20260430_071132,trial_001,1777504292.4073253,227083.3826022,R_Femur,21,-9.7234,-0.6699,-0.2728,0.6714,-0.5493,-0.5493,-111.9617,85.7703,-98.6078,-0.6847,-0.2122,-0.6786,-0.1604
independent_20260430_071132,trial_001,1777504292.4073253,227083.3827914,R_Tibia,11,-4.7756,-7.9338,3.3305,0.1831,-0.2441,0.3662,-67.2638,29.0314,173.161,0.1763,0.5477,0.7963,0.1867
independent_20260430_071132,trial_001,1777504292.4073253,227083.3829586,R_Foot,10,-7.4888,-3.943,-4.6368,0.4883,0.1831,-0.1221,-139.6198,50.9052,-37.4194,-0.8503,-0.1314,-0.482,0.1658
